municipio;data;temperatura_max;temperatura_min;temperatura_media;precipitacao
Timbaúba;2024-10-17;31.6;22.0;25.9;1.2
Timbaúba;2024-10-18;29.5;22.2;25.4;0.4
Timbaúba;2024-10-19;31.1;22.5;25.7;1.6
Timbaúba;2024-10-20;31.2;22.1;25.8;1.0
Timbaúba;2024-10-21;30.9;22.2;25.6;1.5
Timbaúba;2024-10-22;31.1;21.6;25.5;0.8
Timbaúba;2024-10-23;29.8;20.7;24.8;0.3
Timbaúba;2024-10-24;28.1;21.9;24.6;1.1
Timbaúba;2024-10-25;31.5;21.1;25.5;0.3
Timbaúba;2024-10-26;30.6;20.7;25.3;0.2
Timbaúba;2024-10-27;31.9;22.1;26.0;1.3
Timbaúba;2024-10-28;31.7;22.3;26.0;1.0
Timbaúba;2024-10-29;30.8;21.6;25.2;1.9
Timbaúba;2024-10-30;30.9;20.5;25.0;0.1
Timbaúba;2024-10-31;31.4;21.7;25.7;0.4
Timbaúba;2024-11-01;31.9;21.7;25.8;0.6
Timbaúba;2024-11-02;30.7;22.3;25.6;1.0
Timbaúba;2024-11-03;31.0;21.3;25.6;0.2
Timbaúba;2024-11-04;31.0;21.2;25.6;0.1
Timbaúba;2024-11-05;31.7;21.7;25.7;1.2
Timbaúba;2024-11-06;30.2;21.1;25.2;1.6
Timbaúba;2024-11-07;30.3;21.9;25.5;1.6
Timbaúba;2024-11-08;31.2;23.0;26.1;1.7
Timbaúba;2024-11-09;31.1;22.1;25.6;1.8
Timbaúba;2024-11-10;31.5;22.1;25.8;0.5
Timbaúba;2024-11-11;31.0;22.4;25.8;1.1
Timbaúba;2024-11-12;32.3;22.1;26.4;1.1
Timbaúba;2024-11-13;33.2;22.4;26.7;1.1
Timbaúba;2024-11-14;31.9;22.0;26.3;1.2
Timbaúba;2024-11-15;31.4;21.4;26.2;0.0
Timbaúba;2024-11-16;33.0;22.1;26.5;0.3
Timbaúba;2024-11-17;33.0;21.9;26.4;0.9
Timbaúba;2024-11-18;32.3;23.2;26.5;0.6
Timbaúba;2024-11-19;32.2;21.9;26.3;2.0
Timbaúba;2024-11-20;33.0;22.5;26.8;1.6
Timbaúba;2024-11-21;32.5;21.9;26.6;1.0
Timbaúba;2024-11-22;35.0;23.0;27.4;1.8
Timbaúba;2024-11-23;35.2;22.6;27.6;0.6
Timbaúba;2024-11-24;33.3;23.3;27.6;1.7
Timbaúba;2024-11-25;32.7;23.2;27.2;1.5
Timbaúba;2024-11-26;33.2;22.8;26.8;0.3
Timbaúba;2024-11-27;32.3;22.1;26.5;0.0
Timbaúba;2024-11-28;32.2;22.1;26.4;0.5
Timbaúba;2024-11-29;32.3;22.5;26.5;2.4
Timbaúba;2024-11-30;32.8;22.3;26.5;0.9
Timbaúba;2024-12-01;32.4;21.2;26.5;0.4
Timbaúba;2024-12-02;32.3;23.0;25.9;7.3
Timbaúba;2024-12-03;31.6;22.8;25.7;4.2
Timbaúba;2024-12-04;30.7;22.2;25.8;1.8
Timbaúba;2024-12-05;32.7;21.7;26.4;0.8
Timbaúba;2024-12-06;29.7;22.8;25.8;1.1
Timbaúba;2024-12-07;30.4;21.9;25.8;3.5
Timbaúba;2024-12-08;31.1;21.9;26.2;1.4
Timbaúba;2024-12-09;32.0;22.0;26.4;0.1
Timbaúba;2024-12-10;31.7;22.1;26.4;1.3
Timbaúba;2024-12-11;33.5;22.2;26.7;1.5
Timbaúba;2024-12-12;33.6;23.5;27.2;2.2
Timbaúba;2024-12-13;33.7;23.0;27.3;0.5
Timbaúba;2024-12-14;32.2;23.4;;
Timbaúba;2024-12-15;;;;
Timbaúba;2024-12-16;;;;
Palmares;2024-10-17;30.9;21.7;25.7;1.5
Palmares;2024-10-18;30.5;21.7;25.6;0.9
Palmares;2024-10-19;30.8;22.0;25.6;0.6
Palmares;2024-10-20;32.0;20.5;25.5;1.3
Palmares;2024-10-21;31.6;21.4;25.8;0.3
Palmares;2024-10-22;30.7;20.8;25.1;0.9
Palmares;2024-10-23;29.5;20.2;24.7;0.9
Palmares;2024-10-24;29.2;20.3;24.5;1.3
Palmares;2024-10-25;31.1;20.5;24.9;0.6
Palmares;2024-10-26;30.9;19.2;25.0;0.0
Palmares;2024-10-27;29.7;21.0;25.3;1.3
Palmares;2024-10-28;31.2;21.9;25.4;2.0
Palmares;2024-10-29;31.3;20.3;25.1;1.3
Palmares;2024-10-30;32.0;19.2;25.1;0.0
Palmares;2024-10-31;31.4;20.3;25.3;0.4
Palmares;2024-11-01;30.9;21.4;25.7;1.5
Palmares;2024-11-02;30.7;22.2;25.6;1.1
Palmares;2024-11-03;30.5;20.3;25.0;0.4
Palmares;2024-11-04;30.7;19.5;25.0;0.0
Palmares;2024-11-05;31.5;20.7;25.4;0.6
Palmares;2024-11-06;29.7;20.2;24.9;2.6
Palmares;2024-11-07;31.6;21.5;25.6;0.3
Palmares;2024-11-08;30.8;21.7;25.7;0.8
Palmares;2024-11-09;31.3;22.4;25.9;1.0
Palmares;2024-11-10;32.3;21.5;26.1;0.3
Palmares;2024-11-11;31.5;20.9;25.9;0.7
Palmares;2024-11-12;30.9;22.1;26.1;0.9
Palmares;2024-11-13;31.9;22.7;26.1;1.3
Palmares;2024-11-14;31.0;21.5;25.4;1.3
Palmares;2024-11-15;30.6;20.7;25.2;0.8
Palmares;2024-11-16;31.3;21.6;25.1;3.7
Palmares;2024-11-17;30.4;20.9;25.0;2.2
Palmares;2024-11-18;30.3;22.0;25.3;2.1
Palmares;2024-11-19;30.8;21.4;25.6;1.3
Palmares;2024-11-20;31.9;22.0;26.2;0.2
Palmares;2024-11-21;31.9;22.0;26.2;0.8
Palmares;2024-11-22;33.2;22.2;26.9;0.4
Palmares;2024-11-23;34.8;22.6;27.4;0.0
Palmares;2024-11-24;34.4;23.2;27.8;0.2
Palmares;2024-11-25;31.5;23.5;27.0;2.0
Palmares;2024-11-26;33.0;22.3;26.9;0.1
Palmares;2024-11-27;32.6;21.6;26.4;0.2
Palmares;2024-11-28;33.0;21.4;26.7;0.1
Palmares;2024-11-29;32.6;22.2;26.9;0.4
Palmares;2024-11-30;32.7;22.2;26.8;0.5
Palmares;2024-12-01;33.0;20.7;26.6;0.3
Palmares;2024-12-02;30.9;22.7;25.8;6.2
Palmares;2024-12-03;31.0;22.3;25.6;3.2
Palmares;2024-12-04;30.3;21.5;25.6;1.5
Palmares;2024-12-05;32.3;21.4;25.9;1.6
Palmares;2024-12-06;32.2;21.9;26.3;0.5
Palmares;2024-12-07;29.6;21.6;25.5;2.7
Palmares;2024-12-08;31.3;21.6;25.8;1.4
Palmares;2024-12-09;31.8;21.3;25.8;1.1
Palmares;2024-12-10;31.0;21.1;25.9;0.9
Palmares;2024-12-11;33.1;21.9;26.8;0.4
Palmares;2024-12-12;33.8;22.7;27.5;0.3
Palmares;2024-12-13;33.3;22.5;27.1;1.1
Palmares;2024-12-14;31.5;22.4;;
Palmares;2024-12-15;;;;
Palmares;2024-12-16;;;;
